image_path,overlay_path,img_name,accepted,contour_version,brain_area_px,brain_perim_px,midline_area_left_px,midline_area_right_px,midline_perimeter_left_px,midline_perimeter_right_px,non_complete_contour,hipp_area_left_px,hipp_area_right_px,hipp_perimeter_left_px,hipp_perimeter_right_px,sex,dose
D:/data/input/TB_P28/Females/K13/TileScan 011_K13_1.tif,D:/data/output/TileScan 011_K13_1__hippocampus_overlay.png,TileScan 011_K13_1.tif,ok,single,5113354,9910.29154,2564957,2548397,5251.650384,5279.366113,FALSE,560988,553176,3839.758571,3727.942336,F,lps
D:/data/input/TB_P28/Females/K13/TileScan 013_K13_3.tif,D:/data/output/TileScan 013_K13_3__hippocampus_overlay.png,TileScan 013_K13_3.tif,ok,single,5237834,10078.34031,2619557,2595500,5126.99353,5092.743749,FALSE,739956,749360,4485.179925,4331.540316,F,lps
D:/data/input/TB_P28/Females/K13/TileScan 014_K13_4.tif,D:/data/output/TileScan 014_K13_4__hippocampus_overlay.png,TileScan 014_K13_4.tif,ok,single,5242469,10826.44499,2610966,2604304,5082.241223,5744.203769,FALSE,784680,788252,4838.317008,4778.032737,F,lps
D:/data/input/TB_P28/Females/M13/TileScan 021_M13_1.tif,D:/data/output/TileScan 021_M13_1__hippocampus_overlay.png,TileScan 021_M13_1.tif,ok,single,5280151,10424.54846,2629280,2615821,5228.052405,5306.964092,FALSE,637964,631876,4839.304815,4378.167732,F,lps
D:/data/input/TB_P28/Females/M13/TileScan 023_M13_3.tif,D:/data/output/TileScan 023_M13_3__hippocampus_overlay.png,TileScan 023_M13_3.tif,ok,single,5505161,10733.72717,2724984,2733849,5353.005723,7447.808012,FALSE,832520,836740,4826.819534,4916.961669,F,lps
D:/data/input/TB_P28/Females/M13/TileScan 024_M13_4.tif,D:/data/output/TileScan 024_M13_4__hippocampus_overlay.png,TileScan 024_M13_4.tif,ok,single,5508873,10807.17291,2742980,2716343,5459.652472,5347.520441,FALSE,882652,901860,5130.885549,5335.554596,F,lps
D:/data/input/TB_P28/Females/M13/TileScan 025_M13_5.tif,D:/data/output/TileScan 025_M13_5__hippocampus_overlay.png,TileScan 025_M13_5.tif,ok,single,5528851,11899.20444,2717895,2748719,5969.628087,6095.257591,FALSE,897992,926656,5419.336341,5515.069315,F,lps
D:/data/input/TB_P28/Females/N03/TileScan 001_000_N03_3.tif,D:/data/output/TileScan 001_000_N03_3__hippocampus_overlay.png,TileScan 001_000_N03_3.tif,ok,single,5501013,10571.81043,2727736,2735967,5265.248363,6032.014951,FALSE,814060,782092,4965.04493,4771.991107,F,sal
D:/data/input/TB_P28/Females/N03/TileScan 001_N03_2.tif,D:/data/output/TileScan 001_N03_2__hippocampus_overlay.png,TileScan 001_N03_2.tif,ok,single,5440047,10627.54341,2707469,2704352,5305.650384,5321.893025,FALSE,756208,726648,4588.978914,4492.309868,F,sal
D:/data/input/TB_P28/Females/N03/TileScan 003_N03_4.tif,D:/data/output/TileScan 003_N03_4__hippocampus_overlay.png,TileScan 003_N03_4.tif,ok,single,5655457,11084.27551,2823080,2778893,5505.338764,5578.936743,FALSE,886364,866384,5483.554596,5215.772851,F,sal
D:/data/input/TB_P28/Females/N03/TileScan 004_N03_5.tif,D:/data/output/TileScan 004_N03_5__hippocampus_overlay.png,TileScan 004_N03_5.tif,ok,single,5670467,10986.90292,2827139,2787072,5419.279889,5567.623034,FALSE,902224,879128,5713.395216,5516.809429,F,sal
D:/data/input/TB_P28/Females/T05/TileScan 016_T05_2.tif,D:/data/output/TileScan 016_T05_2__hippocampus_overlay.png,TileScan 016_T05_2.tif,ok,single,5462632,11232.30703,2651612,2789229,5992.808888,5239.498144,FALSE,645464,634308,4250.184977,4148.226607,F,sal
D:/data/input/TB_P28/Females/T05/TileScan 019_T05_5.tif,D:/data/output/TileScan 019_T05_5__hippocampus_overlay.png,TileScan 019_T05_5.tif,ok,single,5476116,12289.7843,2785983,2637816,6294.951023,6461.977497,FALSE,922548,933448,5437.01044,5571.454091,F,sal
D:/data/input/TB_P28/Females/T07/TileScan 020_T07_1.tif,D:/data/output/TileScan 020_T07_1__hippocampus_overlay.png,TileScan 020_T07_1.tif,ok,single,5140297,10510.67335,2538301,2549068,5177.939707,5678.865675,FALSE,485448,486444,3729.047894,3603.172784,F,sal
D:/data/input/TB_P28/Females/T07/TileScan 022_T07_3.tif,D:/data/output/TileScan 022_T07_3__hippocampus_overlay.png,TileScan 022_T07_3.tif,ok,single,5309842,11981.50595,2643110,2632436,7153.43334,6508.826133,FALSE,737304,726436,4610.954529,4500.309868,F,sal
D:/data/input/TB_P28/Females/W12/TileScan 015_W12_1.tif,D:/data/output/TileScan 015_W12_1__hippocampus_overlay.png,TileScan 015_W12_1.tif,ok,single,5135153,9939.806259,2601977,2511139,4888.06251,5051.743749,FALSE,547988,502472,3826.888514,3547.893566,F,sal
D:/data/input/TB_P28/Females/W12/TileScan 016_W12_2.tif,D:/data/output/TileScan 016_W12_2__hippocampus_overlay.png,TileScan 016_W12_2.tif,ok,single,5263930,10764.83273,2657421,2587122,5625.662577,5413.378306,FALSE,633032,607252,4134.670258,3986.788008,F,sal
D:/data/input/TB_P28/Females/W12/TileScan 017_W12_3.tif,D:/data/output/TileScan 017_W12_3__hippocampus_overlay.png,TileScan 017_W12_3.tif,ok,single,5286204,10538.4551,2669826,2593538,5161.324483,5377.130613,FALSE,707436,681180,4494.067227,4337.983967,F,sal
D:/data/input/TB_P28/Females/W12/TileScan 018_W12_4.tif,D:/data/output/TileScan 018_W12_4__hippocampus_overlay.png,TileScan 018_W12_4.tif,ok,single,5385118,10795.27342,2701243,2652900,5300.549879,5494.72354,FALSE,770572,759436,4798.618523,4679.807341,F,sal
D:/data/input/TB_P28/Females/W12/TileScan 019_W12_5.tif,D:/data/output/TileScan 019_W12_5__hippocampus_overlay.png,TileScan 019_W12_5.tif,ok,single,5395384,11105.64809,2703138,2648761,5412.427076,5693.221014,FALSE,825568,807372,5168.843919,5149.429706,F,sal
D:/data/input/TB_P28/Females/Z10/TileScan 022_Z10_2.tif,D:/data/output/TileScan 022_Z10_2__hippocampus_overlay.png,TileScan 022_Z10_2.tif,ok,single,5035313,9854.24991,2466376,2532612,4956.34678,4897.903129,FALSE,570968,592948,3826.403232,3949.51593,F,lps
D:/data/input/TB_P28/Females/Z10/TileScan 023_Z10_3.tif,D:/data/output/TileScan 023_Z10_3__hippocampus_overlay.png,TileScan 023_Z10_3.tif,ok,single,5155677,10191.07537,2496247,2579369,6709.006934,5658.108316,FALSE,577808,696312,4039.43981,4372.694643,F,lps
D:/data/input/TB_P28/Females/Z10/TileScan 024_Z10_4.tif,D:/data/output/TileScan 024_Z10_4__hippocampus_overlay.png,TileScan 024_Z10_4.tif,ok,single,5263842,11609.99124,2565003,2659611,6101.274836,5637.669717,FALSE,724640,794324,4548.108857,4784.275378,F,lps
D:/data/input/TB_P28/Females/Z10/TileScan 025_Z10_5.tif,D:/data/output/TileScan 025_Z10_5__hippocampus_overlay.png,TileScan 025_Z10_5.tif,ok,single,5240699,10609.57493,2557753,2638729,5453.196628,5172.520441,FALSE,784760,840200,4798.032737,5132.358638,F,lps
D:/data/input/TB_P28/Females/Z09/TileScan 016_Z09_1.tif,D:/data/output/TileScan 016_Z09_1__hippocampus_overlay.png,TileScan 016_Z09_1.tif,ok,single,5424072,10485.60228,2709324,2673248,5190.15291,5474.929603,FALSE,621580,636596,4030.788008,4088.628628,F,lps
D:/data/input/TB_P28/Females/Z09/TileScan 017_Z09_2.tif,D:/data/output/TileScan 017_Z09_2__hippocampus_overlay.png,TileScan 017_Z09_2.tif,ok,single,5477931,10654.68763,2742210,2707588,5339.782415,5314.905217,FALSE,734872,726480,4456.410373,4412.126102,F,lps
D:/data/input/TB_P28/Females/Z09/TileScan 018_Z09_3.tif,D:/data/output/TileScan 018_Z09_3__hippocampus_overlay.png,TileScan 018_Z09_3.tif,ok,single,5528435,10775.84196,2760772,2732634,5580.995618,5433.581404,FALSE,818364,804056,4955.40532,4793.949477,F,lps
D:/data/input/TB_P28/Females/Z09/TileScan 019_Z09_4.tif,D:/data/output/TileScan 019_Z09_4__hippocampus_overlay.png,TileScan 019_Z09_4.tif,ok,single,5594290,10971.79023,2780374,2763943,5405.75803,5566.032196,FALSE,867636,865908,5103.689591,5138.701784,F,lps
D:/data/input/TB_P28/Females/Z09/TileScan 020_Z09_5.tif,D:/data/output/TileScan 020_Z09_5__hippocampus_overlay.png,TileScan 020_Z09_5.tif,ok,single,5566191,11004.74354,2766629,2729166,5620.233206,5431.137753,FALSE,905836,905628,5624.708924,5470.182013,F,lps
D:/data/input/TB_P28/Females/X12/TileScan 001_X12_1.tif,D:/data/output/TileScan 001_X12_1__hippocampus_overlay.png,TileScan 001_X12_1.tif,ok,single,5412384,11389.64203,2739733,2606950,9524.554055,7598.982214,FALSE,581936,447900,3934.486493,3513.332165,F,sal
D:/data/input/TB_P28/Females/X12/TileScan 002_X12_2.tif,D:/data/output/TileScan 002_X12_2__hippocampus_overlay.png,TileScan 002_X12_2.tif,ok,single,5387833,11705.76692,2758457,2629376,6607.544491,8378.356885,FALSE,697804,557100,4386.871269,3801.113909,F,sal
D:/data/input/TB_P28/Females/X12/TileScan 003_X12_3.tif,D:/data/output/TileScan 003_X12_3__hippocampus_overlay.png,TileScan 003_X12_3.tif,ok,single,5567001,11992.5781,2823565,2705167,7208.811517,7172.877533,FALSE,820484,666468,4860.559648,4189.498685,F,sal
D:/data/input/TB_P28/Females/X12/TileScan 004_X12_4.tif,D:/data/output/TileScan 004_X12_4__hippocampus_overlay.png,TileScan 004_X12_4.tif,ok,single,5605120,13231.49693,2872467,2732653,6690.088648,9134.25638,FALSE,884784,724116,5153.914987,4596.393128,F,sal
D:/data/input/TB_P28/Females/X12/TileScan 005_X12_5.tif,D:/data/output/TileScan 005_X12_5__hippocampus_overlay.png,TileScan 005_X12_5.tif,ok,single,5755742,12133.6908,2818763,2779022,6654.230783,12326.07504,FALSE,941960,811456,5549.596226,4896.476388,F,sal
D:/data/input/TB_P28/Females/Z10/TileScan 021_Z10_1.tif,D:/data/output/TileScan 021_Z10_1__hippocampus_overlay.png,TileScan 021_Z10_1.tif,ok,single,5013897,10820.56382,2449343,2512746,5648.523071,5951.441898,FALSE,464156,471976,3404.278342,3502.604243,F,lps
D:/data/input/TB_P28/Females/N03/TileScan 002_N03_1.tif,D:/data/output/TileScan 002_N03_1__hippocampus_overlay.png,TileScan 002_N03_1.tif,ok,single,5373279,11189.33338,2671282,2665722,6048.542403,6362.750554,FALSE,641660,631616,4189.013404,4106.184977,F,sal
D:/data/input/TB_P28/Females/M13/TileScan 022_M13_2.tif,D:/data/output/TileScan 022_M13_2__hippocampus_overlay.png,TileScan 022_M13_2.tif,ok,single,5346418,11151.67652,2655206,2649593,7479.4776,6005.417513,FALSE,736784,732804,4444.895654,4479.32206,F,lps
D:/data/input/TB_P28/Females/T05/TileScan 018_T05_4.tif,D:/data/output/TileScan 018_T05_4__hippocampus_overlay.png,TileScan 018_T05_4.tif,ok,single,5572204,12799.85732,2734989,2739986,8364.888849,11000.05867,FALSE,843836,859980,5116.843919,5095.370831,F,sal
D:/data/input/TB_P28/Females/U13/TileScan 007_U13_3.tif,D:/data/output/TileScan 007_U13_3__hippocampus_overlay.png,TileScan 007_U13_3.tif,ok,single,5586185,11188.1618,2721713,2808394,5802.711888,5702.510878,FALSE,775044,814108,6624.639944,6560.154663,F,lps
D:/data/input/TB_P28/Females/U13/TileScan 008_U13_4.tif,D:/data/output/TileScan 008_U13_4__hippocampus_overlay.png,TileScan 008_U13_4.tif,ok,single,5766823,11387.67652,2820786,2913452,5821.930144,5565.746378,FALSE,890072,904268,5347.454091,5297.3292,F,lps
D:/data/input/TB_P28/Males/K10/TileScan 002_K10_2.tif,D:/data/output/TileScan 002_K10_2__hippocampus_overlay.png,TileScan 002_K10_2.tif,ok,single,5174697,12037.34766,2572367,2588975,6132.108857,5948.067227,FALSE,636764,600504,4190.184977,4012.528123,M,sal
D:/data/input/TB_P28/Males/K10/TileScan 004_K10_5.tif,D:/data/output/TileScan 004_K10_5__hippocampus_overlay.png,TileScan 004_K10_5.tif,ok,single,5262073,11545.76692,2620750,2628027,5841.883461,5819.782956,FALSE,864440,833368,5450.750554,5118.802289,M,sal
D:/data/input/TB_P28/Males/K10/TileScan 005_K10_4.tif,D:/data/output/TileScan 005_K10_4__hippocampus_overlay.png,TileScan 005_K10_4.tif,ok,single,5348306,12627.9162,2660125,2675050,6170.795149,6483.12105,FALSE,652184,612844,9023.982214,8379.080631,M,sal
D:/data/input/TB_P28/Males/K11/TileScan 006_K11_1.tif,D:/data/output/TileScan 006_K11_1__hippocampus_overlay.png,TileScan 006_K11_1.tif,ok,single,5287467,13326.25934,2582785,2651318,7572.785044,6137.113909,FALSE,394468,613164,4025.917951,4095.859076,M,lps
D:/data/input/TB_P28/Males/K11/TileScan 007_K11_2.tif,D:/data/output/TileScan 007_K11_2__hippocampus_overlay.png,TileScan 007_K11_2.tif,ok,single,5504014,12982.30097,2686993,2803892,7111.518018,5963.268237,FALSE,715052,730512,4424.410373,4493.581946,M,lps
D:/data/input/TB_P28/Males/K11/TileScan 009_K11_4.tif,D:/data/output/TileScan 009_K11_4__hippocampus_overlay.png,TileScan 009_K11_4.tif,ok,single,5646280,13752.99441,2763667,2882613,7825.383023,6257.552508,FALSE,645356,898344,4800.760659,5411.738362,M,lps
D:/data/input/TB_P28/Males/K11/TileScan 010_K11_5.tif,D:/data/output/TileScan 010_K11_5__hippocampus_overlay.png,TileScan 010_K11_5.tif,ok,single,5582690,12968.60963,2730749,2839354,6926.802289,6049.807341,FALSE,886776,776164,5584.708924,5744.608419,M,lps
D:/data/input/TB_P28/Males/K11/TileScan 008_K11_3.tif,D:/data/output/TileScan 008_K11_3__hippocampus_overlay.png,TileScan 008_K11_3.tif,ok,single,5577958,12958.703,2704030,2861025,6894.434758,6098.268237,FALSE,597808,632112,9086.041089,9277.271537,M,lps
D:/data/input/TB_P28/Males/M11/TileScan 016_M11_1.tif,D:/data/output/TileScan 016_M11_1__hippocampus_overlay.png,TileScan 016_M11_1.tif,ok,single,5329535,11158.01967,2666103,2651221,5524.817446,5626.758571,FALSE,621828,579740,5038.500773,4013.013404,M,sal
D:/data/input/TB_P28/Males/M11/TileScan 017_M11_2.tif,D:/data/output/TileScan 017_M11_2__hippocampus_overlay.png,TileScan 017_M11_2.tif,ok,single,5449498,11456.93136,2713143,2723982,5745.27329,5745.658066,FALSE,787868,727816,4743.706836,4305.983967,M,sal
